,County,Candidate,Margin,Total votes,Biden vote approx,Trump vote approx,Biden Share,Trump Share,State,Relative Vote Total,b,r,g,rgb
33,Magoffin,Trump,0.54,5446,1252.58,4193.42,0.22999999999999998,0.77,Kentucky,0.09440172301345345,0.22999999999999998,0.77,0.22999999999999998,"(0.77, 0.22999999999999998, 0.22999999999999998, 0.09440172301345345)"
34,Lyon,Trump,0.47,4228,1120.42,3107.58,0.265,0.735,Kentucky,0.07328874125980192,0.265,0.735,0.265,"(0.735, 0.265, 0.265, 0.07328874125980192)"
35,Boone,Trump,0.36,66953,21424.96,45528.03999999999,0.32,0.6799999999999999,Kentucky,1.0,0.32,0.6799999999999999,0.32,"(0.6799999999999999, 0.32, 0.32, 1.0)"
36,Warren,Trump,0.17,55351,22970.664999999997,32380.335,0.4149999999999999,0.585,Kentucky,0.95946194831393,0.4149999999999999,0.585,0.4149999999999999,"(0.585, 0.4149999999999999, 0.4149999999999999, 0.95946194831393)"
37,Daviess,Trump,0.28,49240,17726.399999999998,31513.600000000002,0.35999999999999993,0.64,Kentucky,0.8535330226188851,0.35999999999999993,0.64,0.35999999999999993,"(0.64, 0.35999999999999993, 0.35999999999999993, 0.8535330226188851)"
38,Bullitt,Trump,0.48,41964,10910.640000000001,31053.36,0.26,0.74,Kentucky,0.7274098245568419,0.26,0.74,0.26,"(0.74, 0.26, 0.26, 0.7274098245568419)"
39,Pulaski,Trump,0.63,31537,5834.345,25702.655,0.185,0.815,Kentucky,0.5466667533373635,0.185,0.815,0.185,"(0.815, 0.185, 0.185, 0.5466667533373635)"
40,Scott,Trump,0.25,28950,10856.25,18093.75,0.375,0.625,Kentucky,0.5018233347850675,0.375,0.625,0.375,"(0.625, 0.375, 0.375, 0.5018233347850675)"
41,Laurel,Trump,0.67,28097,4636.004999999999,23460.995,0.16499999999999998,0.835,Kentucky,0.4870373139017631,0.16499999999999998,0.835,0.16499999999999998,"(0.835, 0.16499999999999998, 0.16499999999999998, 0.4870373139017631)"
42,Christian,Trump,0.28,23863,8590.68,15272.32,0.36,0.64,Kentucky,0.4136445678057363,0.36,0.64,0.36,"(0.64, 0.36, 0.36, 0.4136445678057363)"
